Filename	PLA
Instrument name	0850-00115
Operator	
rundate	2019/12/19
proceduresegments	DMA Oscillatory Temperature Ramp
[File Parameters]
Name	PLA
Instrument type	DMA850
Instrument serial number	0850-00115
Instrument name	0850-00115
Instrument location	MFG
Company name	TA
Trios version	4.4.0.41128
File name	D:\2019SJTU\密西根\朱宰亨\邹璧卉\1219 yp201979474\PLA.tri
Run date	2019/12/19 12:33:09
Preload Direction	-1.00000
Starting Force	0.00000
Starting Displacement	17254.8
Time at start of test	0.136161
[Clamp Parameters]
Geometry mass	21.42
Clamp Compliance	0.384603
Zero reference position	28.675
Tool mass calibration date	2019/12/2
Compliance calibration date	2019/12/2
[Firmware Versions]
InfoVerDsp	V2018.9.27
InfoVerWinCe	V2018.8.7
InfoVerDmaIface14	V2017.10.23
InfoVerDmaPower15	V2017.8.9
[Calibration Date Information]
InfoDateDynPhase	2018/11/9 14:33
InfoDateStaticNrm	2018/11/9 13:57
InfoDateTorqLag	2018/6/9 4:07
InfoDateADGain	2018/6/9 3:50
InfoDateInertiaPhase	2018/11/9 14:12
InfoDateInertiaMass	2018/6/11 20:32
InfoDateShaftMass	2018/6/9 3:26
InfoDateDmaForcePosn	2018/6/11 20:26
InfoDateDmaEncoderCorr	2018/6/11 20:30
InfoDateDmaInstStability	2018/11/9 13:52
InfoDateDmaTempOffset	2019/3/26 15:26
InfoDateDmaThermocoupleCal	2019/3/26 14:21
InfoDateSpare17	2018/6/9 3:23
[Calibration Parameters]
SPFrtScaleHi	1987.868
InfoOlStressTol	1.000e-2
InfoOlStressMaxCnt	0
InfoIntSpare8	0
Collect data only when stable	Enabled
Temperature option	None
[step]
Temperature Ramp - 1
Angular frequency	Step time	Temperature	Oscillation strain	Oscillation stress	Tan(delta)	Storage modulus	Loss modulus
rad/s	min	°C	%	MPa		MPa	MPa
6.28319	6.59967	-0.186	0.0438029	1.12739	0.0173747	2573.38	44.5714
6.28319	6.64967	-0.126	0.0438409	1.12705	0.0174332	2570.37	44.6165
6.28319	6.69967	-0.102	0.0437826	1.12670	0.0171175	2573.01	44.5460
6.28319	6.74967	-0.061	0.0437919	1.12737	0.0174556	2573.99	44.4554
6.28319	6.79967	-0.029	0.0438168	1.12786	0.0175412	2573.65	44.4417
6.28319	6.84967	0.007	0.0438157	1.12762	0.0169922	2573.19	44.3634
6.28319	6.89967	0.044	0.0438148	1.12655	0.0168490	2570.81	44.2862
6.28319	6.94967	0.121	0.0437904	1.12704	0.0176162	2573.31	44.1593
6.28319	6.99967	0.194	0.0438016	1.12749	0.0169019	2573.70	44.0471
6.28319	7.04967	0.303	0.0438314	1.12738	0.0171282	2571.70	43.8073
6.28319	7.09967	0.389	0.0437984	1.12687	0.0174098	2572.46	43.8331
6.28319	7.14967	0.453	0.0438243	1.12749	0.0164041	2572.41	43.7630
6.28319	7.19967	0.549	0.0438044	1.12613	0.0166440	2570.47	43.5617
6.28319	7.24967	0.670	0.0438254	1.12722	0.0170654	2571.69	43.6077
6.28319	7.29967	0.763	0.0437855	1.12649	0.0168616	2572.37	43.5775
6.28319	7.34967	0.833	0.0438389	1.12722	0.0168440	2570.92	43.6042
6.28319	7.39967	0.887	0.0437743	1.12569	0.0163622	2571.24	43.7901
6.28319	7.44967	0.970	0.0438194	1.12790	0.0174771	2573.59	43.7818
6.28319	7.49967	1.044	0.0438009	1.12698	0.0170455	2572.59	43.7073
6.28319	7.54967	1.133	0.0438253	1.12705	0.0164636	2571.33	43.7398
6.28319	7.59967	1.188	0.0438045	1.12631	0.0173888	2570.84	43.7735
6.28319	7.64967	1.269	0.0438142	1.12694	0.0167608	2571.73	43.6056
6.28319	7.69967	1.353	0.0438138	1.12707	0.0175356	2572.00	43.5420
6.28319	7.74967	1.425	0.0438212	1.12717	0.0180743	2571.79	43.4994
6.28319	7.79967	1.522	0.0437845	1.12653	0.0170551	2572.54	43.5494
6.28319	7.84967	1.618	0.0438179	1.12665	0.0170411	2570.83	43.4295
6.28319	7.89967	1.728	0.0437951	1.12670	0.0165680	2572.32	43.3363
6.28319	7.94967	1.852	0.0438343	1.12685	0.0169089	2570.34	43.4826
6.28319	7.99966	1.926	0.0438095	1.12568	0.0159738	2569.17	43.5276
6.28319	8.04967	2.028	0.0437923	1.12602	0.0164183	2570.93	43.5081
6.28319	8.09967	2.105	0.0438034	1.12555	0.0164345	2569.22	43.4289
6.28319	8.14967	2.192	0.0438281	1.12636	0.0166198	2569.60	43.1219
6.28319	8.19967	2.296	0.0438383	1.12525	0.0169946	2566.46	43.1141
6.28319	8.24967	2.452	0.0438038	1.12509	0.0166680	2568.13	43.1993
6.28319	8.29967	2.603	0.0437924	1.12470	0.0175367	2567.85	43.1487
6.28319	8.34967	2.725	0.0438460	1.12534	0.0175724	2566.18	43.1328
6.28319	8.39967	2.857	0.0437971	1.12452	0.0166410	2567.20	43.4763
