Filename	TPU
Instrument name	0850-00115
Operator	
rundate	2019/12/27
proceduresegments	DMA Oscillatory Temperature Ramp
[File Parameters]
Name	TPU
Instrument type	DMA850
Instrument serial number	0850-00115
Instrument name	0850-00115
Instrument location	MFG
Company name	TA
Trios version	4.4.0.41128
File name	D:\2019SJTU\密西根\朱宰亨\邹璧卉\1227 yp201980909\TPU.tri
Run date	2019/12/27 10:26:49
Preload Direction	-1.00000
Starting Force	0.00000
Starting Displacement	17614.6
Time at start of test	0.441681
[Clamp Parameters]
Geometry mass	21.42
Clamp Compliance	0.384603
Zero reference position	28.675
Tool mass calibration date	2019/12/2
Compliance calibration date	2019/12/2
[Firmware Versions]
Code Image Loader	V2018.9.27
Main Embedded Kernel	V2018.8.7
DMA Interface Board	V2017.10.23
DMA Power Board	V2017.8.9
[Calibration Date Information]
Phase angle correction calibration	2018/11/9 14:33
Transducer static normal calibration	2018/11/9 13:57
Filter lag correction calibration	2018/6/9 4:07
Programmable gain amplifier calibration	2018/6/9 3:50
DMA Inertia phase calibration	2018/11/9 14:12
DMA Inertia mass calibration	2018/6/11 20:32
DMA Shaft mass calibration	2018/6/9 3:26
DMA Force versus position correction calibration	2018/6/11 20:26
DMA Encoder correction calibration	2018/6/11 20:30
DMA Installation stability verification	2018/11/9 13:52
DMA Temperature offset calibration	2019/3/26 15:26
DMA Thermocouple calibration	2019/3/26 14:21
DMA LCD Resistance calibration	2018/6/9 3:23
[Calibration Parameters]
Transducer full scale	1987.868
convergence tolerance	1.000e-2
OSS/OSM: Maximum number of iteration	0
Target Displacement (Sample=0, Motor=1)	0
Clamp mass	0.031706
Clamp compliance	1.402e-6
Inertia phase calibration residual	8.501e-3
Inertia phase correlation coefficient	0.993084
Inertia phase maximum phase deviation	0.245094
Phase calibration residual	0.048416
Phase calibration correlation coefficient	0.300114
Phase calibration maximum phase deviation	0.273880
Phase calibration average stiffness	326110.2
Collect data only when stable	Enabled
[Temperature Control Information]
Sample Thermocouple measured	25.00000,  100.0000,  200.0000,  
Sample Thermocouple offset	---
Immersion/Air Thermocouple measured	---
Immersion/Air Thermocouple offset	---
Temperature option	None
[step]
Temperature Ramp - 1
Angular frequency	Step time	Temperature	Oscillation strain	Oscillation stress	Tan(delta)	Storage modulus	Loss modulus
rad/s	min	°C	%	MPa		MPa	MPa
6.28319	0.633406	-60.782	0.0699047	1.73770	0.0351747	2484.27	87.3834
6.28319	0.666739	-60.779	0.0699133	1.73769	0.0349296	2483.97	86.7641
6.28319	0.716739	-60.765	0.0698936	1.73768	0.0350690	2484.65	87.1343
6.28319	0.766739	-60.741	0.0698771	1.73768	0.0351713	2485.23	87.4087
6.28319	0.816739	-60.709	0.0698509	1.73768	0.0346139	2486.21	86.0577
6.28319	0.866737	-60.672	0.0697644	1.73768	0.0354039	2489.23	88.1284
6.28319	0.916738	-60.638	0.0697622	1.73767	0.0349953	2489.32	87.1146
6.28319	0.966739	-60.590	0.0697187	1.73767	0.0342761	2490.95	85.3798
6.28319	1.01674	-60.540	0.0696833	1.73767	0.0341205	2492.22	85.0359
6.28319	1.06674	-60.491	0.0696588	1.73767	0.0338779	2493.12	84.4616
6.28319	1.11674	-60.440	0.0696144	1.73768	0.0340583	2494.70	84.9653
6.28319	1.16674	-60.379	0.0695836	1.73767	0.0338141	2495.81	84.3935
6.28319	1.21674	-60.309	0.0695430	1.73767	0.0336108	2497.29	83.9358
6.28319	1.26674	-60.237	0.0695287	1.73767	0.0331855	2497.84	82.8920
6.28319	1.31674	-60.161	0.0695029	1.73767	0.0334555	2498.74	83.5965
6.28319	1.36674	-60.089	0.0694439	1.73767	0.0329566	2500.90	82.4212
6.28319	1.41674	-60.035	0.0694211	1.73766	0.0329346	2501.72	82.3931
6.28319	1.46674	-59.999	0.0693505	1.73766	0.0331298	2504.25	82.9654
6.28319	1.51674	-59.965	0.0693576	1.73765	0.0326556	2504.02	81.7704
6.28319	1.56674	-59.907	0.0693060	1.73766	0.0327453	2505.88	82.0558
6.28319	1.61674	-59.864	0.0692800	1.73765	0.0326368	2506.82	81.8148
6.28319	1.66674	-59.802	0.0692585	1.73765	0.0327240	2507.60	82.0588
6.28319	1.71674	-59.737	0.0692547	1.73766	0.0321180	2507.80	80.5456
6.28319	1.76674	-59.646	0.0692376	1.73765	0.0323280	2508.39	81.0912
6.28319	1.81674	-59.563	0.0692090	1.73765	0.0321165	2509.44	80.5942
6.28319	1.86674	-59.478	0.0691774	1.73766	0.0322269	2510.58	80.9084
